2018-01-02 13:50:34.5067 ERROR  Session [SessionKey[9ef8e7bf-cb60-44d4-af45-66bd9d2d80e2], RemoteEndPoint[192.168.1.4:36490], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-02 13:50:34.6799 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-02 13:50:34.7835 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-02 13:50:53.5319 ERROR  Session [SessionKey[d637c8eb-5bf7-4f06-b4f5-26b2606d7d77], RemoteEndPoint[192.168.1.4:36500], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-02 13:50:53.6015 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-02 13:50:53.7951 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-02 13:52:36.4461 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:36.6503 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:36.7824 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:36.8956 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:37.0293 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
