2018-01-06 12:22:56.4404 ERROR  Session [SessionKey[d4c56074-15b0-45bd-aef7-e2361499c66c], RemoteEndPoint[192.168.1.4:44350], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 12:22:56.8204 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 12:22:56.9404 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 12:23:21.1710 ERROR  Session [SessionKey[1e591396-3d5a-433b-b027-e76b79668d69], RemoteEndPoint[192.168.1.4:44368], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 12:23:21.2910 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 12:23:21.4810 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 13:13:32.8368 ERROR  Session [SessionKey[bb37b39d-88aa-4c41-8bc1-dbcb14e965dd], RemoteEndPoint[192.168.1.4:47380], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 13:13:32.9768 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 13:13:33.1768 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 13:14:05.2509 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:05.4409 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:05.6009 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:05.7309 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
